Local Authority code,Local Authority name,Robbery,Theft offences,Burglary,Non-domestic burglary,Vehicle offences,Theft            from           the         person,Bicycle                theft,Shoplifting,All other theft offences,Crime Summed
E06000014,York,0.2852226,25.9939281,4.4088641,2.5041575,3.1229454,1.0393704,4.3073442,7.2417527,5.8736512,54.7772363
E07000128,Wyre,0.2642489,21.8415418,5.3123149,3.1709873,3.7177092,0.4009294,0.9112032,4.9113855,6.5879995,47.1183197
E07000007,Wycombe,0.329493,25.7061377,3.8971073,2.2837276,4.6242643,1.1702684,0.5112823,6.703479,8.7997364,54.0254959
W06000006,Wrexham,0.3659063,29.8799095,7.6693963,3.8200619,4.1932864,0.3878607,1.0172196,9.2208391,7.3913075,63.9457873
E07000229,Worthing,0.7611198,22.1745749,3.6756516,2.1719759,1.8285438,0.9467587,2.7196109,6.4045444,6.5994654,47.2822455
E08000031,Wolverhampton,1.5447749,32.9709205,7.8928956,4.0368545,7.9833023,0.8136601,1.2499705,8.9895679,6.0415242,71.5234704
E06000041,Wokingham,0.1558516,19.7619834,4.2578658,2.524796,3.3227562,0.7293855,1.5709842,4.2453977,5.635594,42.2046145
E07000217,Woking,0.2212501,19.8421079,4.3747172,1.7297732,3.0271031,0.4726706,1.8806255,4.4853422,5.6016493,41.6352391
E08000015,Wirral,0.4300405,24.4655656,5.8616391,2.6893113,5.0171393,0.383297,0.9317544,6.8494858,5.4222499,52.050483
E06000040,Windsor and Maidenhead,0.4603678,30.3571912,7.0273783,4.2854822,6.1269532,1.5368159,1.8820917,5.0572752,8.726677,65.4602324
E07000094,Winchester,0.1988467,21.5002983,4.5900444,3.1152648,4.0680718,0.7539604,0.6131106,4.8717439,6.6033671,46.314708
E06000054,Wiltshire,0.1440054,16.2458624,3.8284855,2.4666062,3.3512106,0.4196728,0.6274519,3.3635539,4.6554877,35.1023364
E08000010,Wigan,0.8726112,33.2523865,9.9278931,4.2046817,8.3255181,0.6924993,0.9844048,5.0772929,8.2447783,71.5820658
E09000033,Westminster,7.7466271,129.0595504,12.8436353,7.8291697,17.7549226,26.1701452,4.9690671,17.5733288,49.7484513,273.6948976
E07000181,West Oxfordshire,0.1012789,15.9744409,3.8485973,3.0015376,2.7805655,0.9115099,0.6537091,2.5135576,5.2665016,35.0516983
E07000142,West Lindsey,0.2262638,26.9469465,10.0310305,6.2707409,5.4626557,0.183166,0.7218894,4.5899237,5.9582813,60.3908977
E07000127,West Lancashire,0.2483547,19.1321779,5.9959908,3.2640897,3.760799,0.3370527,0.6829753,3.4237463,4.9316138,41.7768001
E06000037,West Berkshire,0.1986925,24.0033329,4.364825,3.140623,4.7942571,0.9037303,1.1536982,5.7877195,6.9991027,51.3459813
E07000241,Welwyn Hatfield,0.6133629,29.8195201,4.8396854,2.3022115,5.8227465,1.1847147,2.1593735,8.8307454,6.9822545,62.5546145
E07000156,Wellingborough,1.6713308,44.918636,13.2022181,6.7501036,9.5874793,0.7125829,1.5417703,11.466107,8.4084784,98.2587065
E07000065,Wealden,0.1086255,13.5845777,3.8402311,2.3897611,3.0095654,0.2364202,0.1725229,1.5015878,4.8242503,29.6675421
E07000216,Waverley,0.0973118,16.3808134,4.8250416,2.870697,2.0516563,0.3000446,0.4784495,2.0840936,6.6415278,35.7296355
E07000206,Waveney,0.3012515,21.1650686,3.9593052,2.7284777,3.021122,0.5508599,1.9021879,5.0524178,6.6791758,45.3598664
E07000103,Watford,1.2655208,35.6627906,5.1865606,2.2405942,6.9914837,2.3028329,2.821489,9.4914059,8.8690186,74.8316961
E06000007,Warrington,0.3274032,25.0993043,5.1758588,2.7251499,4.5403115,0.7992489,2.2966369,6.2688076,6.0184405,53.2511616
E09000032,Wandsworth,1.8916272,41.8383438,7.2167964,2.8581057,13.6546874,2.1173508,3.2427896,4.7592706,10.847449,88.4264205
E09000031,Waltham Forest,2.3933326,35.9848066,7.4492016,2.481838,10.4141314,2.4965889,1.4566508,4.1007486,10.0674853,76.8447837
E08000030,Walsall,1.4342889,34.4012025,9.5836578,4.6795487,10.1523026,0.5831326,0.7497419,6.9323965,6.399971,74.9162426
E08000036,Wakefield,0.5542922,39.6873193,8.6709272,5.117465,9.3630434,0.9407986,1.2014657,9.0334643,10.4776201,85.0463958
E07000180,Vale of White Horse,0.0631597,16.1767841,3.0790365,2.1948004,2.8974523,0.6631771,0.9000261,3.9553777,4.6817145,34.6115282
W06000014,Vale of Glamorgan ,0.2037745,22.5954605,5.0943633,2.8763559,4.4908772,0.4467365,0.8386106,4.8984262,6.8264468,48.2710515
E07000077,Uttlesford,0.1057343,24.4363773,5.0634993,3.0427989,4.5700725,1.3393014,0.3054547,4.2411213,8.9169281,52.0212878
E07000116,Tunbridge Wells,0.1462479,17.635774,3.3464956,2.0044563,2.9593689,0.4731549,0.3699211,4.0175153,6.4693181,37.422252
E08000009,Trafford,0.9387538,28.5912692,6.8156099,2.7391036,5.2253009,1.0802099,1.5603031,6.549844,7.3600014,60.8603957
E09000030,Tower Hamlets,4.5048707,48.9405086,9.7413595,5.2805213,10.428945,6.2831091,4.7453563,4.7893888,12.95235,107.6664092
W06000020,Torfaen,0.1851126,30.3257982,7.3391698,3.8764755,6.1849384,0.3593362,0.4791149,8.0033974,7.9598415,64.7131844
