Local Authority code,Local Authority name,Robbery,Theft offences,Burglary,"Residential burglary (per 1,000 population)","Residential burglary (per 1,000 household)",Non-residential burglary,Vehicle offences,Theft            from           the         person,Bicycle                theft,Shoplifting,All other theft offences
E07000223,Adur,0,16,4,2,4,2,3,1,1,2,6
E07000026,Allerdale,0,20,5,2,5,3,3,0,0,6,5
E07000032,Amber Valley,0,22,4,3,7,1,5,0,0,7,6
E07000224,Arun,0,25,5,3,6,2,6,1,2,6,7
E07000170,Ashfield,1,35,8,5,13,3,9,0,1,9,9
E07000105,Ashford,1,31,8,6,14,2,5,0,2,7,9
E07000004,Aylesbury Vale,0,25,4,3,7,1,6,1,1,6,6
E09000002,Barking and Dagenham,5,38,8,6,17,2,13,2,1,4,10
E09000003,Barnet,2,37,9,7,19,2,11,2,1,4,11
E08000016,Barnsley,1,39,11,8,17,3,8,1,1,8,11
E07000027,Barrow-in-Furness,0,18,5,3,6,2,2,0,1,5,5
E07000066,Basildon,1,36,10,7,18,2,12,1,1,6,7
E07000171,Bassetlaw,0,42,9,6,14,4,10,0,1,9,13
E06000022,Bath and North East Somerset,1,25,6,4,9,2,4,1,1,5,7
E06000055,Bedford,1,35,8,5,13,2,9,1,3,7,8
E09000004,Bexley,1,26,6,5,13,1,8,1,0,4,6
E08000025,Birmingham,4,42,10,8,20,2,14,2,1,7,9
E07000129,Blaby,0,35,8,6,16,2,12,0,1,5,10
E06000008,Blackburn with Darwen,1,37,9,6,15,4,8,1,1,7,11
E06000009,Blackpool,2,57,13,9,19,4,9,3,3,11,19
W06000019,Blaenau Gwent,0,27,8,6,13,2,7,0,0,5,7
E07000033,Bolsover,0,23,5,4,9,1,7,0,0,4,6
E08000001,Bolton,2,44,12,9,20,3,12,1,1,6,13
E07000136,Boston,0,33,7,5,12,1,5,0,3,11,7
E06000028,Bournemouth,1,43,10,6,13,4,8,2,4,8,12
E06000036,Bracknell Forest,0,18,3,2,5,1,4,1,1,4,5
E08000032,Bradford,2,49,14,11,28,3,13,1,1,8,12
E07000067,Braintree,0,23,6,4,10,2,7,1,1,3,6
E07000143,Breckland,0,16,5,3,7,1,3,0,0,2,5
E09000005,Brent,4,41,9,8,20,2,12,3,1,4,11
E07000068,Brentwood,1,30,9,7,17,2,9,1,1,3,6
W06000013,Bridgend,0,19,4,3,7,1,3,0,0,5,7
E06000043,Brighton and Hove,1,35,5,3,6,2,6,2,4,7,12
E06000023,"Bristol, City of ",2,51,11,8,19,3,13,1,4,10,11
E07000144,Broadland,0,10,3,2,4,1,2,0,0,2,3
E09000006,Bromley,2,33,8,7,16,1,10,1,1,5,8
E07000095,Broxbourne,1,36,6,4,11,2,10,1,2,9,9
E07000117,Burnley,0,51,16,10,23,6,11,1,1,8,14
E08000002,Bury,2,35,10,7,17,3,8,1,1,7,9
W06000018,Caerphilly,0,21,5,4,9,1,5,0,0,4,6
E08000033,Calderdale,1,40,12,8,18,3,9,1,0,7,11
E07000008,Cambridge,1,66,10,7,18,2,9,4,22,10,12
E09000007,Camden,9,92,12,7,16,6,14,31,5,7,24
E07000192,Cannock Chase,1,25,4,3,6,2,5,0,1,8,7
E07000106,Canterbury,1,31,7,5,12,2,5,1,2,8,9
W06000015,Cardiff,1,48,8,6,13,2,11,2,4,13,10
E07000028,Carlisle,0,27,5,3,7,2,3,0,1,11,7
W06000010,Carmarthenshire,0,17,3,2,5,1,2,0,0,5,6
E07000069,Castle Point,1,21,5,4,10,1,5,1,1,4,5
E06000056,Central Bedfordshire,1,29,8,6,14,2,9,0,1,4,6
W06000008,Ceredigion,0,15,3,2,5,1,2,0,0,3,6
E07000130,Charnwood,1,34,9,6,14,3,8,0,2,6,8
E07000070,Chelmsford,1,29,6,5,11,2,6,1,2,5,8
E07000078,Cheltenham,1,40,8,7,15,2,12,1,3,9,8
E07000177,Cherwell,1,37,6,4,10,2,6,1,2,12,9
E06000049,Cheshire East,0,22,4,3,7,1,3,1,1,7,7
E06000050,Cheshire West and Chester,0,23,4,3,7,1,3,0,1,7,7
E07000034,Chesterfield,0,24,5,4,8,1,5,1,1,7,6
E07000225,Chichester,0,22,5,3,7,2,4,1,1,5,6
E07000005,Chiltern,0,19,5,4,9,2,5,1,1,2,5
E07000118,Chorley,0,23,6,4,10,2,5,0,1,4,7
E09000001,City of London,-,-,-,-,-,-,-,-,-,-,-
E07000071,Colchester,1,29,6,4,10,2,5,1,3,7,7
W06000003,Conwy,0,23,6,4,9,2,2,1,1,6,7
E07000029,Copeland,0,14,3,2,4,1,1,0,0,5,5
E07000150,Corby,1,37,6,4,10,2,8,1,3,10,10
E06000052,Cornwall,0,16,3,1,3,2,2,0,0,4,6
E07000079,Cotswold,0,22,8,5,11,3,4,0,0,3,6
E06000047,County Durham,0,28,7,5,11,2,5,0,1,6,8
E08000026,Coventry,2,36,10,8,20,2,11,1,2,6,7
E07000226,Crawley,1,42,5,3,8,2,7,2,3,11,14
E09000008,Croydon,3,32,7,6,14,2,9,1,1,4,9
E07000096,Dacorum,1,30,7,5,11,2,8,1,1,6,7
E06000005,Darlington,1,42,10,7,16,3,9,1,2,10,11
W06000004,Denbighshire,1,24,5,4,8,2,3,1,1,6,8
E06000015,Derby,1,38,9,7,16,2,8,1,2,10,8
E07000035,Derbyshire Dales,0,17,5,3,7,2,3,1,0,2,6
E08000017,Doncaster,1,49,12,9,21,4,11,1,1,11,12
E07000108,Dover,1,25,5,4,8,2,6,1,1,5,8
E08000027,Dudley,1,35,8,5,13,3,11,0,0,7,8
E09000009,Ealing,3,36,7,5,14,2,11,2,2,4,10
E07000009,East Cambridgeshire,0,21,7,4,11,2,5,0,1,3,5
E07000085,East Hampshire,0,20,6,4,9,2,5,0,0,3,6
E07000242,East Hertfordshire,0,23,6,4,10,2,6,1,1,4,6
E07000137,East Lindsey,0,27,8,5,12,3,4,0,1,6,7
E07000152,East Northamptonshire,0,23,6,4,9,3,7,0,0,4,5
E06000011,East Riding of Yorkshire,0,23,7,5,11,2,4,0,1,5,7
E07000193,East Staffordshire,1,26,6,4,9,2,5,0,2,5,8
E07000061,Eastbourne,1,29,6,4,8,2,3,1,1,8,9
E07000086,Eastleigh,0,24,5,3,8,2,5,1,1,5,6
