New ONS Code,Local Authority,"2017 Rough Sleeping Rate per 1,000 households",2017rateforlog
E07000223,Adur,0.07,1.07
E07000026,Allerdale,0.02,1.02
E07000032,Amber Valley,0.07,1.07
E07000224,Arun,0.24,1.24
E07000170,Ashfield,0.09,1.09
E07000105,Ashford,0.21,1.21
E07000004,Aylesbury Vale,0.26,1.26
E07000200,Babergh,0.03,1.03
E09000002,Barking and Dagenham,0,1
E09000003,Barnet,0.14,1.14
E08000016,Barnsley,0,1
E07000027,Barrow-in-Furness,0,1
E07000066,Basildon,0.31,1.31
E07000084,Basingstoke and Deane,0.2,1.2
E07000171,Bassetlaw,0.26,1.26
E06000022,Bath and North East Somerset,0.44,1.44
E06000055,Bedford,1.09,2.09
E09000004,Bexley,0.16,1.16
E08000025,Birmingham,0.14,1.14
E07000129,Blaby,0,1
E06000008,Blackburn with Darwen,0.03,1.03
E06000009,Blackpool,0.21,1.21
E07000033,Bolsover,0.15,1.15
E08000001,Bolton,0.14,1.14
E07000136,Boston,0.53,1.53
E06000028,Bournemouth,0.55,1.55
E06000036,Bracknell Forest,0.12,1.12
E08000032,Bradford,0.07,1.07
E07000067,Braintree,0,1
E07000143,Breckland,0.02,1.02
E09000005,Brent,0.25,1.25
E07000068,Brentwood,0,1
E06000043,Brighton and Hove,1.41,2.41
E06000023,"Bristol, City of",0.45,1.45
E07000144,Broadland,0.04,1.04
E09000006,Bromley,0.04,1.04
E07000234,Bromsgrove,0.02,1.02
E07000095,Broxbourne,0.05,1.05
E07000172,Broxtowe,0.02,1.02
E07000117,Burnley,0.03,1.03
E08000002,Bury,0.12,1.12
E08000033,Calderdale,0.07,1.07
E07000008,Cambridge,0.58,1.58
E09000007,Camden,1.18,2.18
E07000192,Cannock Chase,0.12,1.12
E07000106,Canterbury,0.55,1.55
E07000028,Carlisle,0.02,1.02
E07000069,Castle Point,0,1
E06000056,Central Bedfordshire,0.11,1.11
E07000130,Charnwood,0,1
E07000070,Chelmsford,0.23,1.23
E07000078,Cheltenham,0.17,1.17
E07000177,Cherwell,0.15,1.15
E06000049,Cheshire East,0.13,1.13
E06000050,Cheshire West and Chester,0.12,1.12
E07000034,Chesterfield,0.25,1.25
E07000225,Chichester,0.19,1.19
E07000005,Chiltern,0.03,1.03
E07000118,Chorley,0,1
E07000048,Christchurch,0.22,1.22
E09000001,City of London,9.84,10.84
E07000071,Colchester,0.26,1.26
E07000029,Copeland,0.03,1.03
E07000150,Corby,0.14,1.14
E06000052,Cornwall,0.28,1.28
E07000079,Cotswold,0.03,1.03
E06000047,County Durham,0.06,1.06
E08000026,Coventry,0.06,1.06
E07000163,Craven,0.04,1.04
E07000226,Crawley,0.38,1.38
E09000008,Croydon,0.2,1.2
E07000096,Dacorum,0.11,1.11
E06000005,Darlington,0.06,1.06
E07000107,Dartford,0.21,1.21
E07000151,Daventry,0.06,1.06
E06000015,Derby,0.35,1.35
E07000035,Derbyshire Dales,0.06,1.06
E08000017,Doncaster,0.06,1.06
E07000108,Dover,0.26,1.26
E08000027,Dudley,0.08,1.08
E09000009,Ealing,0.5,1.5
E07000009,East Cambridgeshire,0.05,1.05
E07000040,East Devon,0.1,1.1
E07000049,East Dorset,0.03,1.03
E07000085,East Hampshire,0.04,1.04
E07000242,East Hertfordshire,0.05,1.05
E07000137,East Lindsey,0.14,1.14
E07000152,East Northamptonshire,0.16,1.16
E06000011,East Riding of Yorkshire,0.07,1.07
E07000193,East Staffordshire,0.33,1.33
E07000061,Eastbourne,0.87,1.87
E07000086,Eastleigh,0,1
E07000030,Eden,0.04,1.04
E07000207,Elmbridge,0.15,1.15
E09000010,Enfield,0.07,1.07
E07000072,Epping Forest,0.04,1.04
E07000208,Epsom and Ewell,0.1,1.1
E07000036,Erewash,0.06,1.06
E07000041,Exeter,0.66,1.66
E07000087,Fareham,0.2,1.2
E07000010,Fenland,0.21,1.21
E07000201,Forest Heath,0.27,1.27
E07000080,Forest of Dean,0.03,1.03
E07000119,Fylde,0.05,1.05
E08000037,Gateshead,0.09,1.09
E07000173,Gedling,0,1
E07000081,Gloucester,0.28,1.28
E07000088,Gosport,0.24,1.24
E07000109,Gravesham,0.21,1.21
E07000145,Great Yarmouth,0.07,1.07
E09000011,Greenwich,0.07,1.07
E07000209,Guildford,0.23,1.23
E09000012,Hackney,0.16,1.16
E06000006,Halton,0.07,1.07
E07000164,Hambleton,0,1
E09000013,Hammersmith and Fulham,0.06,1.06
E07000131,Harborough,0,1
E09000014,Haringey,0.4,1.4
E07000073,Harlow,0.67,1.67
E07000165,Harrogate,0.09,1.09
E09000015,Harrow,0.12,1.12
E07000089,Hart,0.03,1.03
E06000001,Hartlepool,0.1,1.1
E07000062,Hastings,0.94,1.94
E07000090,Havant,0.19,1.19
E09000016,Havering,0.21,1.21
E06000019,"Herefordshire, County of",0.13,1.13
E07000098,Hertsmere,0.15,1.15
E07000037,High Peak,0.07,1.07
E09000017,Hillingdon,0.33,1.33
E07000132,Hinckley and Bosworth,0,1
E07000227,Horsham,0.12,1.12
E09000018,Hounslow,0.22,1.22
E07000011,Huntingdonshire,0.05,1.05
E07000120,Hyndburn,0.17,1.17
E07000202,Ipswich,0.35,1.35
E06000046,Isle of Wight,0.14,1.14
E06000053,Isles of Scilly,0,1
E09000019,Islington,0.26,1.26
E09000020,Kensington and Chelsea,0.26,1.26
E07000153,Kettering,0.33,1.33
E07000146,King's Lynn and West Norfolk,0.14,1.14
E06000010,"Kingston upon Hull, City of",0.25,1.25
E09000021,Kingston upon Thames,0.4,1.4
E08000034,Kirklees,0.04,1.04
E08000011,Knowsley,0,1
E09000022,Lambeth,0.25,1.25
E07000121,Lancaster,0.07,1.07
E08000035,Leeds,0.08,1.08
E06000016,Leicester,0.25,1.25
E07000063,Lewes,0.02,1.02
E09000023,Lewisham,0.17,1.17
E07000194,Lichfield,0.07,1.07
E07000138,Lincoln,0.68,1.68
E08000012,Liverpool,0.15,1.15
E06000032,Luton,1.11,2.11
E07000110,Maidstone,0.6,1.6
E07000074,Maldon,0.04,1.04
E07000235,Malvern Hills,0.03,1.03
E08000003,Manchester,0.44,1.44
E07000174,Mansfield,0.32,1.32
E06000035,Medway,0.39,1.39
E07000133,Melton,0,1
E07000187,Mendip,0.39,1.39
E09000024,Merton,0.06,1.06
E07000042,Mid Devon,0.09,1.09
E07000203,Mid Suffolk,0.05,1.05
E07000228,Mid Sussex,0.13,1.13
E06000002,Middlesbrough,0.1,1.1
E06000042,Milton Keynes,0.46,1.46
E07000210,Mole Valley,0,1
E07000091,New Forest,0.09,1.09
E07000175,Newark and Sherwood,0.08,1.08
E08000021,Newcastle upon Tyne,0.08,1.08
E07000195,Newcastle-under-Lyme,0.09,1.09
E09000025,Newham,0.68,1.68
E07000043,North Devon,0.49,1.49
E07000050,North Dorset,0.1,1.1
E07000038,North East Derbyshire,0.07,1.07
E06000012,North East Lincolnshire,0.31,1.31
E07000099,North Hertfordshire,0.09,1.09
E07000139,North Kesteven,0.02,1.02
E06000013,North Lincolnshire,0.19,1.19
E07000147,North Norfolk,0.11,1.11
E06000024,North Somerset,0.07,1.07
E08000022,North Tyneside,0.02,1.02
E07000218,North Warwickshire,0,1
E07000134,North West Leicestershire,0,1
